Year,A. Wages,A. House Price,A. Population,Albuquerque Houses on Market
2010,21.16716682,160.245872,756348.643,3247.0608
2011,21.68688427,164.9888714,771935.6638,4319.654916
2012,22.2281889,169.7295128,787402.1458,4558.328894
2013,22.79205137,174.4677986,802731.8867,4481.675466
2014,23.3794937,179.2037312,817909.2812,4823.229639
2015,23.99159223,183.9373128,832919.3796,5066.679888
2016,24.62948068,188.6685458,847747.9407,4427.934544
2017,25.29435351,193.3974326,862381.4783,3403.3979
2018,25.98746939,198.1239755,876807.3016,2912.794238
2019,26.71015492,202.8481767,891013.5486,2667.70487
2020,27.46380866,207.5700387,904989.2132,1876.069626
2021,28.24990525,212.2895636,918724.1659,915.076474
2022,29.07,217.0067539,932209.1674,749.1830395
2023,29.93756508,221.7216119,945435.8765,1191.701383
2024,30.84320636,226.4341398,958396.8516,1327.599769
2025,31.78879738,231.1443399,971085.5465,1279.8415
2026,32.77631637,235.8522146,983496.3005,1933.685726
2027,33.8078526,240.5577661,995624.3244,3151.857962
2028,34.88561313,245.2609968,1007465.68,3910.464758
2029,36.01193004,249.9619089,1019017.259,4110.202135
2030,37.18926807,254.6605047,1030276.753,4610.567805
2031,38.42023284,259.3567865,1041242.623,5439.876957
2032,39.70757958,264.0507566,1051914.071,5627.241933
2033,41.05422244,268.7424172,1062290.998,4991.790389
2034,42.46324441,273.4317706,1072373.972,4469.608231
2035,43.93790796,278.1188191,1082164.185,4354.340623
2036,45.48166635,282.803565,1091663.417,3818.167881
2037,47.09817574,287.4860105,1100873.994,2621.061996
2038,48.79130806,292.1661578,1109798.746,1719.178466
2039,50.56516486,296.8440092,1118440.97,1589.342107
2040,52.42409201,301.5195671,1126804.385,1461.251671
2041,54.37269551,306.1928335,1134893.098,911.2375858
2042,56.41585829,310.8638108,1142711.56,750.328496
2043,58.55875825,315.5325013,1150264.534,1496.260124
2044,60.80688754,320.198907,1157557.055,2353.768885
2045,63.16607316,324.8630304,1164594.394,2660.02868
2046,65.64249906,329.5248735,1171382.029,3035.208171
2047,68.24272973,334.1844387,1177925.611,4047.904329
2048,70.97373553,338.8417282,1184230.933,4969.477292
2049,73.84291977,343.4967442,1190303.902,5022.15603
2050,76.85814771,348.1494888,1196150.516,4747.140789
2051,80.02777772,352.7999644,1201776.833,4885.99313
2052,83.36069458,357.4481731,1207188.954,4927.999931
2053,86.86634523,362.0941172,1212392.998,4110.276575
2054,90.55477711,366.7377988,1217395.084,2952.036913
2055,94.4366793,371.3792202,1222201.312,2375.081749
2056,98.5234266,376.0183835,1226817.746,2081.960559
2057,102.8271269,380.655291,1231250.404,1282.029632
2058,107.3606721,385.2899447,1235505.238,356.0416962
2059,112.1377926,389.9223471,1239588.126,252.5794244
2060,117.1731159,394.5525001,1243504.862,757.8688504
2061,122.4822298,399.1804061,1247261.143,943.480584
2062,128.0817499,403.8060671,1250862.565,929.7198288
2063,133.9893925,408.4294853,1254314.615,1588.154517
2064,140.2240529,413.050663,1257622.662,2761.071081
2065,146.8058895,417.6696023,1260791.955,3422.11289
2066,153.7564143,422.2863054,1263827.62,3486.991644
2067,161.0985906,426.9007744,1266734.653,3823.557329
2068,168.8569377,431.5130115,1269517.919,4459.745198
2069,177.0576437,436.1230188,1272182.152,4437.895284
2070,185.7286877,440.7307986,1274731.953,3605.388368
2071,194.8999703,445.3363529,1277171.785,2916.231752
2072,204.6034551,449.9396839,1279505.982,2664.734948
2073,214.8733209,454.5407938,1281738.739,2028.046658
2074,225.7461259,459.1396846,1283874.12,781.4759867
2075,237.2609842,463.7363586,1285916.057,-115.989324