Year,Seattle Wages,Seattle House Price,Seattle Population,Seattle Houses on Market
2010,32.59175738,268.5128928,3110947.909,2233.842709
2011,33.3919828,279.2977724,3146887.626,1957.318904
2012,34.22544669,290.0772904,3182633.126,2644.254591
2013,35.0936436,300.8514521,3218171.886,1775.044015
2014,35.99814717,311.6202629,3253491.691,662.7977802
2015,36.94061466,322.383728,3288580.647,1715.896916
2016,37.92279172,333.1418528,3323427.199,2959.569549
2017,38.94651748,343.8946425,3358020.142,2433.120636
2018,40.01372996,354.6421024,3392348.633,2373.613566
2019,41.12647177,365.3842379,3426402.203,3652.898799
2020,42.2868963,376.1210541,3460170.768,3448.248951
2021,43.49727413,386.8525565,3493644.635,1638.449633
2022,44.76,397.5787501,3526814.512,1215.888749
2023,46.09581744,408.2996403,3559671.516,1729.370247
2024,47.49026201,419.0152323,3592207.175,780.6402339
2025,48.94621847,429.7255314,3624413.437,-25.55480005
2026,50.46673274,440.4305427,3656282.669,1454.974576
2027,52.05502176,451.1302715,3687807.664,2939.653214
2028,53.71448379,461.824723,3718981.639,2711.509786
2029,55.44870962,472.5139024,3749798.239,3133.938679
2030,57.26149428,483.197815,3780251.534,4716.875066
2031,59.15684974,493.8764657,3810336.017,4576.656395
2032,61.13901831,504.54986,3840046.605,2954.09703
2033,63.21248697,515.2180029,3869378.634,2785.542755
2034,65.38200274,525.8808996,3898327.853,3266.749012
2035,67.65258893,536.5385553,3926890.425,2143.187196
2036,70.02956264,547.190975,3955062.915,1295.111311
2037,72.51855336,557.838164,3982842.289,2603.553448
2038,75.12552283,568.4801274,4010225.905,3573.548478
2039,77.85678634,579.1168704,4037211.506,2834.282771
2040,80.71903538,589.7483979,4063797.21,2919.793858
2041,83.71936192,600.3747152,4089981.507,4052.024543
2042,86.86528438,610.9958273,4115763.243,3406.35454
2043,90.16477535,621.6117394,4141141.617,1638.182129
2044,93.62629124,632.2224565,4166116.168,1614.476716
2045,97.25880408,642.8279838,4190686.764,2200.449881
2046,101.0718355,653.4283262,4214853.595,1305.985701
2047,105.075493,664.0234889,4238617.16,1016.908504
2048,109.2805092,674.6134769,4261978.257,2861.956909
2049,113.6982831,685.1982953,4284937.971,4102.419081
2050,118.3409251,695.777949,4307497.664,3657.3891
2051,123.2213048,706.3524433,4329658.964,4112.477949
2052,128.3531025,716.921783,4351423.752,5328.165406
2053,133.7508639,727.4859732,4372794.155,4529.60793
2054,139.4300593,738.045019,4393772.527,2741.026092
2055,145.4071471,748.5989252,4414361.445,2702.183086
2056,151.6996414,759.147697,4434563.696,2980.558821
2057,158.3261851,769.6913393,4454382.263,1723.447647
2058,165.3066283,780.2298572,4473820.317,1248.452811
2059,172.662112,790.7632555,4492881.205,2782.580147
2060,180.4151588,801.2915393,4511568.44,3470.93886
2061,188.5897697,811.8147134,4529885.688,2621.963462
2062,197.2115282,822.332783,4547836.763,2902.720961
2063,206.3077127,832.8457529,4565425.61,3868.884398
2064,215.9074169,843.3536281,4582656.301,2871.666932
2065,226.0416792,853.8564135,4599533.022,1292.270927
2066,236.7436225,864.354114,4616060.063,1677.064844
2067,248.048604,874.8467346,4632241.814,2273.749415
2068,259.9943767,885.3342801,4648082.748,1433.133549
2069,272.6212636,895.8167556,4663587.42,1590.915081
2070,285.9723447,906.2941658,4678760.454,3572.143832
2071,300.0936591,916.7665156,4693606.538,4375.424972
2072,315.0344221,927.2338101,4708130.412,3643.682558
2073,330.8472599,937.6960539,4722336.864,4032.673805
2074,347.5884621,948.1532521,4736230.724,4772.362541
2075,365.3182544,958.6054095,4749816.852,3378.866853